,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,proportion_of_max_diameter_to_earth
73,3366004-(2007 AA9),0,88.0146520901,196.8067450894,1995-01-10,1995-01-10 17:49:00,Earth,24.2888578981,1457.3314738878537,Near Earth asteroid orbits similar to that of 1221 Amor,3366004,(2007 AA9),1.544551444744938e-05
74,3429684-(2008 TZ),0,22.1082810359,49.435619262,1995-01-10,1995-01-10 18:20:00,Earth,14.7612903218,885.6774193069866,An asteroid orbit contained entirely within the orbit of the Eart,3429684,(2008 TZ),3.8797378168262445e-06
75,3666685-(2014 FO38),0,14.6067964271,32.6617897446,1995-01-10,1995-01-10 05:33:00,Earth,8.4579845348,,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3666685,(2014 FO38),2.5633173555642756e-06
76,3693721-(2014 US7),0,12.7219878539,28.4472296503,1995-01-10,1995-01-10 07:39:00,Earth,6.5357580312,,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3693721,(2014 US7),2.2325560861952595e-06
77,3556126-(2011 BM45),1,127.2198785394,284.4722965033,1995-01-10,1995-01-10 01:49:00,Earth,21.9477292873,1316.8637572404534,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3556126,(2011 BM45),2.2325560861976142e-05
78,2526798-526798 (2007 AA9),0,88.0146520901,196.8067450894,1995-01-10,1995-01-10 17:49:00,Earth,24.2888578457,1457.3314707392767,An asteroid orbit contained entirely within the orbit of the Eart,2526798,526798 (2007 AA9),1.544551444744938e-05
79,2452376-452376 (2002 AC5),1,265.8,594.3468684194,1995-01-11,1995-01-11 21:36:00,Earth,19.1764208552,1150.5852513136915,An asteroid orbit contained entirely within the orbit of the Eart,2452376,452376 (2002 AC5),4.664470792806467e-05
80,3444551-(2009 BC11),0,92.1626548503,206.0819612321,1995-01-11,1995-01-11 22:51:00,Earth,24.9558613049,1497.3516782952784,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3444551,(2009 BC11),1.6173439117257888e-05
81,3520662-(2010 JR34),0,7.6657557353,17.1411509231,1995-01-11,1995-01-11 02:22:00,Earth,10.9692520182,658.1551210927316,Near Earth asteroid orbits similar to that of 2062 Aten,3520662,(2010 JR34),1.3452480711897661e-06
82,3703538-(2015 AA44),0,44.1118199997,98.6370281305,1995-01-11,1995-01-11 17:29:00,Earth,22.4420465229,1346.5227913713966,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3703538,(2015 AA44),7.741094657863757e-06
83,3740931-(2016 BA15),0,11.6025908209,25.9441817907,1995-01-11,1995-01-11 07:40:00,Earth,27.9092028908,1674.55217344521,Near Earth asteroid orbits similar to that of 1221 Amor,3740931,(2016 BA15),2.0361153500784804e-06
84,3643994-(2013 LV28),0,461.9074602816,1032.8564805039,1995-01-11,1995-01-11 20:09:00,Earth,25.5080689974,1530.48413984337,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3643994,(2013 LV28),8.105921209416889e-05
